year,field_i,field_j,count_i,count_j,coocc,weight_cosine
2018,Earth and Planetary Sciences,Materials Science,605,1789,17,0.016340527183256095
2018,Engineering,Immunology and Microbiology,3317,915,19,0.010906121161244503
2018,Dentistry,Health Professions,62,553,16,0.08640951593987134
2018,"Economics, Econometrics and Finance",Health Professions,485,553,54,0.10427022840524908
2018,Chemical Engineering,Energy,187,521,79,0.2530972499807068
2018,Decision Sciences,Environmental Science,279,1603,14,0.02093433515496035
2018,Computer Science,Neuroscience,1946,1300,77,0.04841139876840874
2018,Medicine,"Pharmacology, Toxicology and Pharmaceutics",5663,96,47,0.06374394836350786
2018,Chemistry,Energy,559,521,68,0.12600394635061793
2018,Chemistry,Engineering,559,3317,124,0.09106322892004497
2018,Arts and Humanities,Medicine,100,5663,14,0.018603932489640707
2018,Arts and Humanities,Psychology,100,834,35,0.12119508818627721
2018,Chemical Engineering,Engineering,187,3317,62,0.07872236819948485
2018,"Business, Management and Accounting","Economics, Econometrics and Finance",503,485,117,0.23688142115822966
2018,"Biochemistry, Genetics and Molecular Biology",Mathematics,3912,148,14,0.018399149783667742
2018,Mathematics,Medicine,148,5663,38,0.04150777540192084
2018,"Biochemistry, Genetics and Molecular Biology",Health Professions,3912,553,31,0.021076558832948206
2018,Health Professions,Neuroscience,553,1300,26,0.030664727249521077
2018,"Economics, Econometrics and Finance",Mathematics,485,148,20,0.07464973470931079
2018,Health Professions,Mathematics,553,148,3,0.010486434085937735
2018,Computer Science,Mathematics,1946,148,33,0.06149101534529507
2018,Engineering,Psychology,3317,834,20,0.012024699569847128
2018,Arts and Humanities,Environmental Science,100,1603,6,0.014985957244542146
2018,Earth and Planetary Sciences,"Economics, Econometrics and Finance",605,485,3,0.00553825180981973
2018,"Economics, Econometrics and Finance",Environmental Science,485,1603,64,0.07258424161083274
2018,Computer Science,"Pharmacology, Toxicology and Pharmaceutics",1946,96,5,0.011568124922267957
2018,Decision Sciences,Engineering,279,3317,26,0.027027041629233577
2018,Decision Sciences,Physics and Astronomy,279,889,13,0.0261029968030102
2018,"Business, Management and Accounting",Health Professions,503,553,28,0.0530898469285165
2018,"Business, Management and Accounting",Medicine,503,5663,25,0.014812649115939752
2018,Chemical Engineering,Neuroscience,187,1300,5,0.010140923928935437
2018,Immunology and Microbiology,Nursing,915,195,9,0.021306624726852998
2018,Energy,Environmental Science,521,1603,73,0.07987984937853004
2018,Medicine,Physics and Astronomy,5663,889,36,0.016044579499154218
2018,Neuroscience,Physics and Astronomy,1300,889,11,0.010232226109461416
2018,Engineering,Health Professions,3317,553,15,0.011075311698283057
2018,Immunology and Microbiology,Social Sciences,915,1020,2,0.002070233646815121
2018,Medicine,Veterinary,5663,26,12,0.03127312575634307
2018,Arts and Humanities,Physics and Astronomy,100,889,1,0.003353892354527677
2018,Chemical Engineering,Chemistry,187,559,33,0.1020674424669473
2018,Chemical Engineering,"Pharmacology, Toxicology and Pharmaceutics",187,96,5,0.03731758962665798
