field_i,field_j,pair,authors_total,authors_bridge,share_bridge_authors,papers_count,cpr_mean,cpr_median,FCA_slope,weight_mean,year_first,year_last
"Business, Management and Accounting","Economics, Econometrics and Finance","('Business, Management and Accounting', 'Economics, Econometrics and Finance')",3579,67,0.018720312936574463,852,3.61537441314554,1.8975,-0.0055605024103857,0.2306104199491714,2018,2025
Psychology,Social Sciences,"('Psychology', 'Social Sciences')",11096,380,0.03424657534246575,1622,3.3065949445129474,1.5365,-0.0057142202502964,0.2306637238584908,2018,2025
Mathematics,Psychology,"('Mathematics', 'Psychology')",1214,90,0.07413509060955518,105,7.891523809523808,1.892,-0.0062374421268852,0.0543789890936245,2018,2025
Mathematics,Medicine,"('Mathematics', 'Medicine')",7713,625,0.08103202385582782,562,6.953887900355872,2.6325000000000003,-0.0066611323616737,0.0791116786792118,2018,2025
Engineering,Social Sciences,"('Engineering', 'Social Sciences')",2812,90,0.032005689900426744,487,3.7808767967145793,1.846,-0.0066620409087428,0.051968095343599,2018,2025
Chemistry,Materials Science,"('Chemistry', 'Materials Science')",13207,860,0.06511698341788445,1625,2.344701538461538,1.0,-0.0069177223976448,0.2321712057654942,2018,2025
Decision Sciences,Social Sciences,"('Decision Sciences', 'Social Sciences')",2462,271,0.11007311129163282,439,10.463920273348519,1.875,-0.0085807679418712,0.1235144418513884,2018,2025
Chemical Engineering,Materials Science,"('Chemical Engineering', 'Materials Science')",5190,307,0.059152215799614646,617,2.1879011345218804,1.09,-0.0109299264965019,0.1833277651998421,2018,2025
Neuroscience,Social Sciences,"('Neuroscience', 'Social Sciences')",2437,132,0.05416495691423882,315,4.642609523809524,1.535,-0.0109676569605755,0.0708786976896931,2018,2025
"Economics, Econometrics and Finance",Psychology,"('Economics, Econometrics and Finance', 'Psychology')",804,31,0.03855721393034826,80,8.3620125,2.656,-0.0114817046322411,0.0528288662782539,2018,2025
Computer Science,Engineering,"('Computer Science', 'Engineering')",18616,606,0.03255264288783842,2914,4.846015099519561,2.25,-0.0126854478300702,0.1667324230823904,2018,2025
Earth and Planetary Sciences,Environmental Science,"('Earth and Planetary Sciences', 'Environmental Science')",37754,1816,0.04810086348466388,2925,2.6621473504273503,1.309,-0.013838640045149,0.3783318551754653,2018,2025
Materials Science,"Pharmacology, Toxicology and Pharmaceutics","('Materials Science', 'Pharmacology, Toxicology and Pharmaceutics')",512,14,0.02734375,83,1.3124698795180725,0.487,-0.013920611273917,0.0772478478279301,2018,2025
Decision Sciences,Mathematics,"('Decision Sciences', 'Mathematics')",841,58,0.06896551724137931,128,5.3531484375,3.5925000000000002,-0.0152488221734278,0.075988306930055,2018,2025
"Economics, Econometrics and Finance",Mathematics,"('Economics, Econometrics and Finance', 'Mathematics')",2332,163,0.06989708404802744,262,10.110961832061067,3.1689999999999996,-0.0198853817064695,0.1574183500276072,2018,2025
Energy,Social Sciences,"('Energy', 'Social Sciences')",80,1,0.0125,12,4.827000000000001,2.1254999999999997,-0.0317496586503435,0.0394592686473975,2020,2025
Decision Sciences,Veterinary,"('Decision Sciences', 'Veterinary')",128,4,0.03125,5,33.6614,30.933,-0.0423068177697415,0.2117766517005889,2019,2022
