author_id,year_first,year_last,P_first,P_last,BES_delta,years_active,mean_degree_active_years,mean_papers_active_years
https://openalex.org/A5029868874,2018,2024,0.0,0.6675900277008311,0.6675900277008311,3,36.333333333333336,1.3333333333333333
https://openalex.org/A5049818092,2018,2022,0.02666179693206705,0.6942148760330579,0.6675530791009908,3,63.0,2.3333333333333335
https://openalex.org/A5047423137,2021,2023,0.0,0.6666666666666667,0.6666666666666667,2,3.5,1.0
https://openalex.org/A5037873079,2019,2023,0.0,0.6666666666666667,0.6666666666666667,2,5.5,1.0
https://openalex.org/A5024242536,2019,2022,0.0,0.6666666666666666,0.6666666666666666,2,6.5,1.0
https://openalex.org/A5000029908,2023,2024,0.0,0.6666666666666666,0.6666666666666666,2,52.5,1.0
https://openalex.org/A5033263383,2019,2025,0.0,0.6666666666666666,0.6666666666666666,6,17.166666666666668,1.8333333333333333
https://openalex.org/A5080860497,2024,2025,0.0,0.6666666666666666,0.6666666666666666,2,16.0,1.5
https://openalex.org/A5064065033,2021,2023,0.0,0.6666666666666666,0.6666666666666666,2,26.0,1.0
https://openalex.org/A5055482231,2021,2024,0.0,0.6666666666666666,0.6666666666666666,2,11.5,1.5
https://openalex.org/A5050758135,2019,2023,0.0,0.6666666666666666,0.6666666666666666,3,46.0,1.6666666666666667
https://openalex.org/A5057064060,2019,2024,0.0,0.6666666666666666,0.6666666666666666,4,5.75,1.0
https://openalex.org/A5100406155,2018,2024,0.0,0.665680473372781,0.665680473372781,3,30.666666666666668,2.0
https://openalex.org/A5062513388,2019,2021,0.0,0.6655560183256977,0.6655560183256977,2,33.5,3.5
https://openalex.org/A5057017311,2021,2023,0.0,0.665,0.665,3,16.0,1.3333333333333333
https://openalex.org/A5030664006,2021,2024,0.0,0.6646510456034266,0.6646510456034266,2,44.0,2.0
https://openalex.org/A5012551917,2018,2024,0.0,0.6632653061224489,0.6632653061224489,6,83.33333333333333,5.166666666666667
https://openalex.org/A5059766169,2019,2025,0.0,0.6571875,0.6571875,6,124.33333333333333,4.833333333333333
https://openalex.org/A5078675962,2018,2019,0.0,0.65625,0.65625,2,5.5,1.0
https://openalex.org/A5100330293,2018,2023,0.0,0.6556927297668038,0.6556927297668038,2,35.5,1.5
